6.5	39.5	44.4	41.8
5.6	24.4	0.0	26.5
5.3	18.5	0.0	21.2
2.4	0.0	0.0	0.0
3.1	0.0	0.0	0.0
3.3	0.0	0.0	0.0
3.3	0.0	0.0	0.0
4.8	11.2	0.0	14.2
5.0	12.9	0.0	16.1
4.7	10.4	0.0	13.3
6.6	42.5	51.4	45.0
4.2	4.1	0.0	6.4
3.9	0.0	0.0	2.6
5.2	16.4	0.0	19.3
4.4	7.2	0.0	9.7
7.5	60.3	87.3	67.8
8.4	79.6	122.7	94.6
8.1	72.8	109.8	85.1
6.0	29.8	0.0	31.3
8.1	72.4	109.0	84.5
8.9	91.6	145.3	111.3
7.8	65.5	96.6	75.0
5.4	19.9	0.0	22.4
5.9	28.0	0.0	29.7
6.4	38.0	40.9	40.1
6.0	31.1	24.5	32.5
7.0	49.5	67.9	52.8
4.3	5.5	0.0	7.9
6.0	30.3	0.0	31.8
8.7	88.0	138.6	106.3
6.8	45.5	58.5	48.3
8.1	72.6	109.4	84.8
7.3	55.5	78.7	61.1
6.5	39.1	43.5	41.4
8.1	74.0	112.1	86.8
8.7	86.4	135.5	104.1
7.6	62.6	91.3	70.9
8.1	73.5	111.1	86.0
8.8	88.7	139.8	107.2
7.9	67.9	100.8	78.2
7.9	69.8	104.2	80.9
5.1	15.7	0.0	18.7
5.7	26.0	0.0	27.8
4.8	11.2	0.0	14.2
6.5	39.9	45.3	42.2
4.9	12.0	0.0	15.1
4.1	3.6	0.0	5.8
5.4	20.2	0.0	22.7
5.5	22.5	0.0	24.7
5.6	23.1	0.0	25.2
4.8	11.4	0.0	14.4
6.3	35.9	36.0	37.8
7.1	50.6	70.0	54.4
7.9	69.5	103.7	80.5
5.8	26.8	0.0	28.6
6.6	42.0	50.3	44.5
8.7	87.3	137.2	105.3
10.8	132.2	219.6	173.7
9.5	105.0	169.8	131.2
7.5	59.6	85.9	66.7
9.0	93.9	149.8	114.6
7.4	57.6	82.4	64.0
8.8	90.2	142.7	109.3
8.8	90.2	142.7	109.3
7.9	68.1	101.2	78.5
9.9	113.7	185.5	144.3
11.3	141.1	237.1	187.2
12.2	156.2	270.4	207.8
10.2	119.5	196.3	153.5
10.2	120.0	197.2	154.3
9.6	107.4	174.1	134.9
6.2	34.4	32.5	36.2
4.8	11.4	0.0	14.4
6.4	37.8	40.3	39.9
6.6	42.0	50.4	44.5
5.6	23.1	0.0	25.2
7.0	48.7	66.2	51.8
9.8	112.1	182.6	141.9
10.5	126.4	209.0	164.5
10.7	130.1	215.8	170.4
13.0	164.2	294.0	217.2
14.1	167.9	321.9	225.0
16.2	164.6	339.3	225.0
13.7	167.1	313.7	225.0
13.1	164.9	297.8	225.0
14.0	168.0	320.3	225.0
12.2	155.6	268.7	207.1
11.9	153.0	261.6	203.7
11.0	136.0	226.8	179.9
12.1	154.6	265.6	205.8
12.2	155.9	269.4	207.3
9.3	100.5	161.7	124.5
8.3	76.9	117.5	90.7
7.5	60.5	87.6	68.0
6.8	44.8	56.8	47.5
3.4	0.0	0.0	0.0
2.9	0.0	0.0	0.0
1.6	0.0	0.0	0.0
2.0	0.0	0.0	0.0
1.7	0.0	0.0	0.0
3.4	0.0	0.0	0.0
2.9	0.0	0.0	0.0
3.2	0.0	0.0	0.0
3.9	0.0	0.0	2.6
5.3	19.3	0.0	21.9
6.1	31.4	25.3	32.9
7.1	51.0	70.7	54.9
8.2	74.5	113.0	87.4
9.2	97.8	156.7	120.3
10.2	119.5	196.3	153.5
9.4	102.4	165.2	127.4
8.5	83.1	129.3	99.4
8.0	70.7	105.8	82.1
8.0	71.0	106.3	82.5
6.9	48.2	65.0	51.3
6.0	30.8	23.8	32.2
6.4	38.0	40.8	40.1
7.4	57.0	81.3	63.1
8.4	80.8	124.9	96.2
8.3	78.0	119.6	92.3
8.2	76.0	115.8	89.5
4.8	11.4	0.0	14.4
5.2	16.6	0.0	19.4
4.2	4.5	0.0	6.8
3.0	0.0	0.0	0.0
2.1	0.0	0.0	0.0
